time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
167,7 finished CPU → wait queue,cpu_to_io,7,CPU1,[],"['9', '8', '4', '7']","['10', None]","['1', '3']"
167,1 finished I/O → ready queue,io_to_ready,1,IO0,['1'],"['9', '8', '4', '7']","['10', None]","[None, '3']"
167,1 dispatched to CPU1,dispatch_cpu,1,CPU1,[],"['9', '8', '4', '7']","['10', '1']","[None, '3']"
167,9 dispatched to IO0,dispatch_io,9,IO0,[],"['8', '4', '7']","['10', '1']","['9', '3']"
171,3 finished I/O → ready queue,io_to_ready,3,IO1,['3'],"['8', '4', '7']","['10', '1']","['9', None]"
171,8 dispatched to IO1,dispatch_io,8,IO1,['3'],"['4', '7']","['10', '1']","['9', '8']"
173,1 finished CPU → ready queue,cpu_to_ready,1,CPU1,"['3', '1']","['4', '7']","['10', None]","['9', '8']"
173,3 dispatched to CPU1,dispatch_cpu,3,CPU1,['1'],"['4', '7']","['10', '3']","['9', '8']"
174,10 finished CPU → ready queue,cpu_to_ready,10,CPU0,"['1', '10']","['4', '7']","[None, '3']","['9', '8']"
174,1 dispatched to CPU0,dispatch_cpu,1,CPU0,['10'],"['4', '7']","['1', '3']","['9', '8']"
178,3 finished CPU → wait queue,cpu_to_io,3,CPU1,['10'],"['4', '7', '3']","['1', None]","['9', '8']"
178,10 dispatched to CPU1,dispatch_cpu,10,CPU1,[],"['4', '7', '3']","['1', '10']","['9', '8']"
179,1 finished CPU → wait queue,cpu_to_io,1,CPU0,[],"['4', '7', '3', '1']","[None, '10']","['9', '8']"
187,10 finished CPU → wait queue,cpu_to_io,10,CPU1,[],"['4', '7', '3', '1', '10']","[None, None]","['9', '8']"
187,8 finished I/O → ready queue,io_to_ready,8,IO1,['8'],"['4', '7', '3', '1', '10']","[None, None]","['9', None]"
187,8 dispatched to CPU0,dispatch_cpu,8,CPU0,[],"['4', '7', '3', '1', '10']","['8', None]","['9', None]"
187,4 dispatched to IO1,dispatch_io,4,IO1,[],"['7', '3', '1', '10']","['8', None]","['9', '4']"
192,8 finished all bursts,finished,8,CPU0,[],"['7', '3', '1', '10']","[None, None]","['9', '4']"
192,9 finished I/O → ready queue,io_to_ready,9,IO0,['9'],"['7', '3', '1', '10']","[None, None]","[None, '4']"
192,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],"['7', '3', '1', '10']","['9', None]","[None, '4']"
192,7 dispatched to IO0,dispatch_io,7,IO0,[],"['3', '1', '10']","['9', None]","['7', '4']"
202,9 finished CPU → wait queue,cpu_to_io,9,CPU0,[],"['3', '1', '10', '9']","[None, None]","['7', '4']"
205,7 finished I/O → ready queue,io_to_ready,7,IO0,['7'],"['3', '1', '10', '9']","[None, None]","[None, '4']"
205,7 dispatched to CPU0,dispatch_cpu,7,CPU0,[],"['3', '1', '10', '9']","['7', None]","[None, '4']"
205,3 dispatched to IO0,dispatch_io,3,IO0,[],"['1', '10', '9']","['7', None]","['3', '4']"
206,7 finished all bursts,finished,7,CPU0,[],"['1', '10', '9']","[None, None]","['3', '4']"
210,4 finished I/O → ready queue,io_to_ready,4,IO1,['4'],"['1', '10', '9']","[None, None]","['3', None]"
210,4 dispatched to CPU0,dispatch_cpu,4,CPU0,[],"['1', '10', '9']","['4', None]","['3', None]"
210,1 dispatched to IO1,dispatch_io,1,IO1,[],"['10', '9']","['4', None]","['3', '1']"
213,4 finished all bursts,finished,4,CPU0,[],"['10', '9']","[None, None]","['3', '1']"
219,1 finished I/O → ready queue,io_to_ready,1,IO1,['1'],"['10', '9']","[None, None]","['3', None]"
219,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],"['10', '9']","['1', None]","['3', None]"
219,10 dispatched to IO1,dispatch_io,10,IO1,[],['9'],"['1', None]","['3', '10']"
222,3 finished I/O → ready queue,io_to_ready,3,IO0,['3'],['9'],"['1', None]","[None, '10']"
222,3 dispatched to CPU1,dispatch_cpu,3,CPU1,[],['9'],"['1', '3']","[None, '10']"
222,9 dispatched to IO0,dispatch_io,9,IO0,[],[],"['1', '3']","['9', '10']"
223,1 finished CPU → ready queue,cpu_to_ready,1,CPU0,['1'],[],"[None, '3']","['9', '10']"
223,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],[],"['1', '3']","['9', '10']"
227,3 finished CPU → wait queue,cpu_to_io,3,CPU1,[],['3'],"['1', None]","['9', '10']"
230,1 finished CPU → wait queue,cpu_to_io,1,CPU0,[],"['3', '1']","[None, None]","['9', '10']"
240,9 finished I/O → ready queue,io_to_ready,9,IO0,['9'],"['3', '1']","[None, None]","[None, '10']"
240,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],"['3', '1']","['9', None]","[None, '10']"
240,3 dispatched to IO0,dispatch_io,3,IO0,[],['1'],"['9', None]","['3', '10']"
244,10 finished I/O → ready queue,io_to_ready,10,IO1,['10'],['1'],"['9', None]","['3', None]"
244,10 dispatched to CPU1,dispatch_cpu,10,CPU1,[],['1'],"['9', '10']","['3', None]"
244,1 dispatched to IO1,dispatch_io,1,IO1,[],[],"['9', '10']","['3', '1']"
246,9 finished CPU → wait queue,cpu_to_io,9,CPU0,[],['9'],"[None, '10']","['3', '1']"
250,3 finished I/O → ready queue,io_to_ready,3,IO0,['3'],['9'],"[None, '10']","[None, '1']"
250,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],['9'],"['3', '10']","[None, '1']"
250,9 dispatched to IO0,dispatch_io,9,IO0,[],[],"['3', '10']","['9', '1']"
253,10 finished CPU → ready queue,cpu_to_ready,10,CPU1,['10'],[],"['3', None]","['9', '1']"
253,10 dispatched to CPU1,dispatch_cpu,10,CPU1,[],[],"['3', '10']","['9', '1']"
257,3 finished CPU → ready queue,cpu_to_ready,3,CPU0,['3'],[],"[None, '10']","['9', '1']"
